報告年,報告週,疾病,年,1週,2週,3週,4週,5週,6週,7週,8週,9週,10週,11週,12週,13週,14週,15週,16週,17週,18週,19週,20週,21週,22週,23週,24週,25週,26週,27週,28週,29週,30週,31週,32週,33週,34週,35週,36週,37週,38週,39週,40週,41週,42週,43週,44週,45週,46週,47週,48週,49週,50週,51週,52週,53週
2024,46,インフルエンザ,2014,2.16,5.51,11.78,24.81,34.44,30.72,28.18,27.36,28.44,22.93,22.79,18.59,12.13,6.13,4.18,4.65,4.03,2.52,1.09,0.83,0.56,0.35,0.17,0.13,0.1,0.07,0.07,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.04,0.05,0.04,0.07,0.07,0.06,0.04,0.07,0.16,0.22,0.37,0.94,1.9,3.49,7.38,15.17,26.63,
2024,46,インフルエンザ,2015,21.46,33.28,37,39.42,29.11,19.03,12.15,8.26,5.88,4.32,3.99,3.85,2.63,2.14,1.57,2.06,2.02,1.43,0.71,0.59,0.51,0.4,0.25,0.17,0.13,0.11,0.1,0.09,0.1,0.08,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.05,0.04,0.06,0.08,0.1,0.11,0.13,0.14,0.19,0.17,0.21,0.34,0.46,0.76,0.89
2024,46,インフルエンザ,2016,2.02,4.11,10.56,22.57,34.66,39.97,37.16,36.12,35.35,28.2,21.13,13.81,11.2,7.02,5.06,4.22,2.51,1.24,0.68,0.48,0.29,0.17,0.13,0.07,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.05,0.09,0.12,0.16,0.23,0.24,0.37,0.47,0.59,0.84,1.38,1.79,2.49,3.31,5.02,8.38,8.54,
2024,46,インフルエンザ,2017,10.58,15.25,28.66,39.41,38.14,28.57,23.92,16.87,13.55,11.09,10.33,7.71,6.78,5.06,3.98,4.06,3.13,2.03,1.37,1.05,0.68,0.42,0.31,0.26,0.23,0.2,0.18,0.2,0.19,0.19,0.2,0.17,0.14,0.12,0.17,0.18,0.22,0.18,0.21,0.21,0.17,0.24,0.36,0.49,0.52,0.77,1.47,2.58,4.06,7.4,12.87,17.88,
2024,46,インフルエンザ,2018,16.31,26.44,51.93,52.35,54.33,45.38,29.65,22.64,17.42,12.05,8.65,5.35,3.39,2,1.66,1.76,1.23,0.61,0.42,0.4,0.27,0.19,0.12,0.08,0.09,0.09,0.09,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.05,0.07,0.13,0.14,0.16,0.17,0.12,0.19,0.19,0.21,0.35,0.38,0.52,0.93,1.7,3.35,8.05,11.17,
2024,46,インフルエンザ,2019,16.3,38.54,53.91,57.09,43.24,26.28,12.49,8.99,5.93,4.12,2.92,2.49,1.73,1.46,1.67,2.54,2.17,1.02,0.74,0.92,0.62,0.49,0.35,0.25,0.2,0.18,0.17,0.19,0.19,0.16,0.19,0.22,0.23,0.24,0.39,0.77,1.17,1.16,0.92,0.99,0.9,0.72,0.8,0.95,1.03,1.84,3.11,5.52,9.52,15.62,21.22,23.24,
2024,46,インフルエンザ,2020,13.93,18.33,16.73,18,14.11,9.04,7.49,6.12,4.77,3.13,1.29,0.54,0.27,0.15,0.09,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2024,46,インフルエンザ,2021,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,
2024,46,インフルエンザ,2022,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.06,0.08,0.11,0.11,0.13,0.25,0.53,1.24,2.05,
2024,46,インフルエンザ,2023,4.73,7.37,9.59,10.36,12.66,12.91,12.56,11.32,10.17,11.1,8.42,6.44,4.06,2.77,2.16,2.51,2.24,1.7,1.36,1.89,1.62,1.52,1.36,1.29,1.2,1.26,1.66,1.76,1.59,1.64,1.44,1.07,1.01,1.4,2.56,4.48,7.03,7.09,9.57,9.99,11.07,16.41,19.68,21.13,17.35,21.66,28.3,26.72,33.72,29.94,23.13,21.65,
2024,46,インフルエンザ,2024,12.66,12.99,17.72,19.2,22.62,23.93,20.64,16.76,13.96,16.14,17.26,14.08,11.18,5.1,2.69,1.85,1.07,0.45,0.34,0.28,0.24,0.19,0.17,0.15,0.16,0.2,0.28,0.33,0.37,0.39,0.4,0.38,0.28,0.29,0.38,0.45,0.51,0.55,0.63,0.77,0.89,0.73,0.87,1.04,1.06,1.88,,,,,,,
2024,46,COVID-19,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,46,COVID-19,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,46,COVID-19,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,46,COVID-19,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,46,COVID-19,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
